filename,value
03-1-01.png,4.10E-14
03-1-02.png,43.5288
03-1-03.png,82.221
03-1-04.png,118.588
03-1-05.png,153.105
03-1-06.png,185.984
03-1-07.png,217.266
03-1-08.png,246.842
03-1-09.png,274.254
03-1-11.png,322.631
03-1-12.png,344.953
03-1-13.png,366.207
03-1-14.png,381.116
03-1-15.png,382.296
03-1-16.png,383.406
03-1-17.png,384.508
03-1-18.png,385.58
03-1-19.png,386.648
03-1-20.png,387.687
03-1-21.png,392.755
03-1-22.png,397.568
03-1-23.png,402.215
03-1-24.png,406.737
03-1-25.png,411.094
03-1-27.png,419.567
03-1-28.png,423.746
03-1-29.png,427.826
03-1-30.png,431.86
03-1-31.png,436.009
03-1-32.png,440.019
03-1-33.png,443.893
03-1-34.png,447.836
03-1-35.png,451.63
03-1-36.png,455.428
03-1-37.png,459.198
03-1-38.png,462.966
03-1-39.png,466.68
03-1-40.png,470.354
03-1-41.png,473.949
03-1-42.png,477.565
03-1-43.png,481.067
03-1-44.png,484.683
03-1-45.png,488.196
03-1-46.png,491.712
04-1-01.png,1.78E-14
04-1-02.png,44.6577
04-1-03.png,83.7997
04-1-04.png,120.166
04-1-05.png,154.772
04-1-07.png,220.923
04-1-08.png,252.645
04-1-11.png,342.264
04-1-13.png,381.466
04-1-14.png,382.632
04-1-15.png,383.764
04-1-16.png,384.867
04-1-17.png,385.952
04-1-18.png,387.018
04-1-19.png,388.071
04-1-20.png,389.112
04-1-21.png,394.18
04-1-22.png,399.048
04-1-23.png,403.765
04-1-24.png,408.359
04-1-25.png,412.852
04-1-26.png,417.253
04-1-27.png,421.573
04-1-28.png,425.84
04-1-29.png,430.073
04-1-30.png,434.224
04-1-31.png,438.309
04-1-32.png,442.366
04-1-33.png,446.41
04-1-34.png,450.423
04-1-35.png,454.43
04-1-36.png,458.294
04-1-38.png,466.028
04-1-39.png,469.903
04-1-40.png,473.62
04-1-42.png,481.095
04-1-43.png,484.813
04-1-44.png,488.48
05-1-01.png,4.10E-14
05-1-02.png,45.2833
05-1-03.png,84.7526
05-1-04.png,121.025
05-1-05.png,155.276
05-1-06.png,188.472
05-1-08.png,252.192
05-1-09.png,282.994
05-1-10.png,313.21
05-1-11.png,342.955
05-1-12.png,372.244
05-1-13.png,381.636
05-1-14.png,382.801
05-1-15.png,383.928
05-1-17.png,386.106
05-1-18.png,387.171
05-1-20.png,389.264
05-1-21.png,394.341
05-1-22.png,399.242
05-1-23.png,404.008
05-1-25.png,413.21
05-1-26.png,417.679
05-1-27.png,422.079
05-1-28.png,426.424
05-1-29.png,430.7
05-1-30.png,434.913
05-1-31.png,439.076
05-1-32.png,443.216
05-1-33.png,447.305
05-1-34.png,451.328
05-1-35.png,455.349
05-1-36.png,459.308
05-1-37.png,463.255
05-1-38.png,467.116
05-1-39.png,471.011
05-1-40.png,474.813
05-1-41.png,478.636
05-1-42.png,482.377
05-1-43.png,486.121
05-1-44.png,489.859
06-1-01.png,7.11E-15
06-1-02.png,44.8761
06-1-03.png,84.6036
06-1-04.png,121.882
06-1-05.png,157.511
06-1-06.png,191.773
06-1-07.png,224.765
06-1-08.png,256.495
06-1-09.png,286.824
06-1-10.png,315.319
06-1-12.png,368.891
06-1-13.png,381.48
06-1-14.png,382.576
06-1-15.png,383.712
06-1-16.png,384.812
06-1-17.png,385.909
06-1-18.png,386.993
06-1-19.png,388.082
06-1-20.png,389.139
06-1-21.png,394.155
06-1-23.png,403.618
06-1-24.png,408.093
06-1-25.png,412.482
06-1-26.png,416.806
06-1-27.png,421.056
06-1-28.png,425.224
06-1-29.png,429.365
06-1-30.png,433.486
06-1-31.png,437.35
06-1-32.png,441.566
06-1-33.png,445.599
06-1-35.png,453.172
06-1-36.png,457.104
06-1-37.png,460.865
06-1-38.png,464.636
06-1-39.png,468.442
06-1-41.png,475.754
06-1-42.png,479.283
06-1-43.png,483.001
06-1-44.png,486.32
06-1-45.png,490.016
07-1-02.png,45.6248
07-1-03.png,85.4867
07-1-04.png,122.424
07-1-05.png,157.579
07-1-06.png,191.745
07-1-07.png,225.042
07-1-08.png,257.514
07-1-10.png,320.445
07-1-11.png,350.925
07-1-12.png,380.498
07-1-13.png,381.967
07-1-14.png,383.118
07-1-15.png,384.235
07-1-16.png,385.328
07-1-17.png,386.403
07-1-18.png,387.464
07-1-19.png,388.507
07-1-20.png,389.542
07-1-21.png,394.596
07-1-22.png,399.469
07-1-23.png,404.183
07-1-24.png,408.799
07-1-25.png,413.298
07-1-26.png,417.727
07-1-27.png,422.071
07-1-28.png,426.372
07-1-29.png,430.569
07-1-30.png,434.749
07-1-31.png,438.888
07-1-32.png,442.967
07-1-33.png,447.013
07-1-34.png,451.021
07-1-35.png,454.966
07-1-36.png,458.888
07-1-37.png,462.828
07-1-38.png,466.636
07-1-39.png,470.421
07-1-40.png,474.23
07-1-42.png,481.658
07-1-43.png,485.407
07-1-44.png,489.017
08-1-01.png,0
08-1-02.png,46.0092
08-1-03.png,86.0311
08-1-04.png,122.701
08-1-05.png,157.358
08-1-06.png,190.921
08-1-07.png,223.501
08-1-08.png,255.242
08-1-09.png,286.374
08-1-10.png,316.998
08-1-12.png,376.933
08-1-15.png,384.101
08-1-16.png,385.193
08-1-17.png,386.268
08-1-18.png,387.329
08-1-19.png,388.376
08-1-20.png,389.414
08-1-21.png,394.471
08-1-22.png,399.361
08-1-23.png,404.115
08-1-24.png,408.757
08-1-25.png,413.342
08-1-26.png,417.793
08-1-27.png,422.141
08-1-28.png,426.457
08-1-29.png,430.736
08-1-30.png,434.946
08-1-31.png,439.11
08-1-32.png,443.208
08-1-33.png,447.229
08-1-34.png,451.358
08-1-35.png,455.315
08-1-37.png,463.192
08-1-38.png,467.099
08-1-39.png,470.937
08-1-40.png,474.74
08-1-41.png,478.476
08-1-42.png,482.212
08-1-43.png,485.908
08-1-44.png,489.578
09-1-01.png,5.33E-14
09-1-02.png,41.8914
09-1-03.png,79.3181
09-1-04.png,114.431
09-1-05.png,147.526
09-1-06.png,178.892
09-1-07.png,208.518
09-1-10.png,283.074
09-1-11.png,303.299
09-1-12.png,321.874
09-1-13.png,339.393
09-1-14.png,355.97
09-1-15.png,371.925
09-1-18.png,383.521
09-1-19.png,384.61
09-1-20.png,385.618
09-1-21.png,390.681
09-1-23.png,400.151
09-1-24.png,404.785
09-1-25.png,409.099
09-1-26.png,413.09
09-1-28.png,421.487
09-1-30.png,429.255
09-1-32.png,437.051
09-1-33.png,441.039
09-1-34.png,444.761
09-1-35.png,448.688
09-1-36.png,452.154
09-1-37.png,455.953
09-1-38.png,459.804
09-1-39.png,462.926
09-1-40.png,466.765
09-1-41.png,470.168
09-1-42.png,473.794
09-1-43.png,477.371
09-1-44.png,480.512
09-1-45.png,484.032
09-1-46.png,487.35
09-1-47.png,490.677
11-1-01.png,6.01E-18
11-1-03.png,83.218
11-1-04.png,118.944
11-1-05.png,152.676
11-1-06.png,185.278
11-1-07.png,216.928
11-1-08.png,247.757
11-1-09.png,277.96
11-1-10.png,307.616
11-1-11.png,336.756
11-1-12.png,365.372
11-1-13.png,381.326
11-1-14.png,382.505
11-1-15.png,383.638
11-1-17.png,385.831
11-1-18.png,386.899
11-1-19.png,387.951
11-1-20.png,388.996
11-1-21.png,394.119
11-1-22.png,398.975
11-1-23.png,403.725
11-1-24.png,408.36
11-1-25.png,412.903
11-1-26.png,417.333
11-1-27.png,421.711
11-1-28.png,426.017
11-1-29.png,430.267
11-1-30.png,434.503
11-1-32.png,442.768
11-1-33.png,446.84
11-1-34.png,450.887
11-1-36.png,458.834
11-1-37.png,462.755
11-1-40.png,474.343
11-1-41.png,478.146
11-1-42.png,481.893
11-1-43.png,485.625
11-1-44.png,489.362
13-1-01.png,4.62E-14
13-1-02.png,42.6791
13-1-03.png,79.7013
13-1-04.png,113.705
13-1-05.png,145.805
13-1-06.png,176.719
13-1-07.png,206.644
13-1-08.png,235.615
13-1-09.png,263.668
13-1-10.png,290.35
13-1-12.png,339.677
13-1-13.png,363.117
13-1-14.png,381.057
13-1-15.png,382.246
13-1-16.png,383.39
13-1-17.png,384.497
13-1-18.png,385.575
13-1-19.png,386.633
13-1-20.png,387.676
13-1-21.png,392.629
13-1-23.png,402.064
13-1-24.png,406.516
13-1-25.png,410.873
13-1-26.png,415.155
13-1-28.png,423.439
13-1-29.png,427.512
13-1-30.png,431.52
13-1-31.png,435.486
13-1-32.png,439.403
13-1-33.png,443.208
13-1-34.png,447.113
13-1-35.png,450.886
13-1-38.png,462.052
13-1-39.png,465.705
13-1-40.png,469.294
13-1-41.png,472.832
13-1-42.png,476.405
13-1-43.png,479.937
13-1-44.png,483.465
13-1-45.png,486.922
13-1-46.png,490.227
14-1-01.png,5.33E-14
14-1-02.png,43.3778
14-1-03.png,80.9197
